cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
14	1	18232	0	0.0131761	0.00615299	0.999913	0.999981	6.78773e-05	0.0070231
14	1	20878	0	0.00615299	0.000938329	0.999981	1	1.84896e-05	0.00709132
14	1	50309	0	0.000938329	0.0157665	1	0.999876	-0.000123843	0.0148281
14	1	52910	0	0.0157665	0.0034559	0.999876	0.999994	0.000118326	-0.0123106
14	1	62532	0	0.0034559	0.00629139	0.999994	0.99998	-1.3819e-05	-0.00974729
14	1	97143	0	0.00629139	0.00383576	0.99998	0.999993	1.24343e-05	0.0101271
14	2	4547	0	0.00681262	0.0119852	0.999977	0.999928	-4.86157e-05	-0.0051726
14	2	16002	0	0.0119852	0.0058667	0.999928	0.999983	5.46152e-05	0.0178519
14	2	33057	0	0.0058667	0.016914	0.999983	0.999857	-0.000125826	0.0110474
14	2	53151	0	0.016914	0.0114018	0.999857	0.999935	7.80455e-05	-0.00551229
14	2	53745	0	0.0114018	0.0338752	0.999935	0.999426	-0.000508636	-0.045277
14	2	55590	0	0.0338752	0.0294236	0.999426	0.999567	0.000140901	0.0632989
14	2	64125	0	0.0294236	0.0178595	0.999567	0.999841	0.000273432	-0.0115641
14	2	84863	0	0.0178595	0.0187433	0.999841	0.999824	-1.61745e-05	0.000883795
15	1	1764	0	0.00383576	0.00749337	0.999993	0.999972	-2.07185e-05	0.00365761
15	1	5322	0	0.00749337	0.0196596	0.999972	0.999807	-0.000165162	0.0121663
15	1	5990	0	0.0196596	0.00521277	0.999807	0.999986	0.00017968	-0.0144469
15	1	66246	0	0.00521277	0.00901186	0.999986	0.999959	-2.70199e-05	-0.0142246
15	1	96176	0	0.00901186	0.00455715	0.999959	0.99999	3.02234e-05	0.00445471
15	2	6861	0	0.0187433	0.0112149	0.999824	0.999937	0.000112774	-0.00752836
15	2	23531	0	0.0112149	0.0170209	0.999937	0.999855	-8.19647e-05	-0.0282358
15	2	29399	0	0.0170209	0.0143925	0.999855	0.999896	4.12846e-05	0.00262842
15	2	32331	0	0.0143925	0.0287824	0.999896	0.999586	-0.000310592	-0.0143899
15	2	39624	0	0.0287824	0.0142567	0.999586	0.999898	0.000312635	0.0145257
15	2	50293	0	0.0142567	0.0429925	0.999898	0.999076	-0.000822212	-0.0287358
15	2	56936	0	0.0429925	0.00668257	0.999076	0.999978	0.000902255	0.0496751
15	2	90192	0	0.00668257	0.00313481	0.999978	0.999995	1.7415e-05	-0.00354776
15	2	99505	0	0.00313481	0.0161381	0.999995	0.99987	-0.000125298	-0.0192729
16	1	14990	0	0.00455715	0.0329265	0.99999	0.999458	-0.000531553	0.0374837
